url,league_name,team_name,team_country
1447,Danish Superliga ,SønderjyskE,Denmark
2017,Austrian Football Bundesliga ,TSV Hartberg,Austria
112983,Chinese Super League ,Tianjin Quanjian FC,China PR
100651,Holland Eredivisie ,VVV-Venlo,Netherlands
753,Rep. Ireland Airtricity League ,Waterford FC,Republic of Ireland
113259,Turkish Süper Lig ,Yeni Malatyaspor,Turkey
101037,Turkish Süper Lig ,Çaykur Rizespor,Turkey
705,Swedish Allsvenskan ,Örebro SK,Sweden
113173,Swedish Allsvenskan ,Östersunds FK,Sweden
112537,Chinese Super League ,Beijing Renhe FC,China PR
112510,Polish T-Mobile Ekstraklasa ,Bruk-Bet Termalica Nieciecza,
112655,Chilian Campeonato Nacional ,Curicó Unido,Chile
112531,Chilian Campeonato Nacional ,Deportes Iquique,Chile
113182,Romanian Liga I ,FC Voluntari,Romania
113458,Swedish Allsvenskan ,IK Sirius,Sweden
114326,Polish T-Mobile Ekstraklasa ,Raków Częstochowa,Poland
110401,Turkish Süper Lig ,Adanaspor,
111674,Saudi Abdul L. Jameel League ,Al Shabab,Saudi Arabia
112408,Saudi Abdul L. Jameel League ,Al Wehda,Saudi Arabia
112001,Campeonato Brasileiro Série A ,América FC (Minas Gerais),
111082,Polish T-Mobile Ekstraklasa ,Arka Gdynia,Poland
110394,Argentina Primera División  ,Arsenal de Sarandí,Argentina
1598,Campeonato Brasileiro Série A ,Bahia,Brazil
1848,Italian Serie B ,Bari,
666,Portuguese Liga ZON SAGRES ,CD Aves,Portugal
10019,Portuguese Liga ZON SAGRES ,CD Feirense,
112409,Italian Serie B ,Carpi,
111059,Campeonato Brasileiro Série A ,Ceará Sporting Club,Brazil
1813,French Ligue 2 ,Chamois Niortais Football Club,France
111711,Argentina Primera División  ,Club Atlético Huracán,Argentina
1893,Portuguese Liga ZON SAGRES ,Clube Sport Marítimo,Portugal
422,Rep. Ireland Airtricity League ,Cork City,Republic of Ireland
1867,Spanish Segunda División ,Córdoba CF,
111721,Colombian Liga Postobón ,Cúcuta Deportivo,Colombia
2056,Korean K League Classic ,Daegu FC,Korea Republic
1572,Rep. Ireland Airtricity League ,Drogheda United,
162,German 3. Bundesliga ,FC Energie Cottbus,
1715,Swiss Super League ,FC Thun,Switzerland
1463,Norwegian Eliteserien ,FK Haugesund,Norway
111131,Rep. Ireland Airtricity League ,Finn Harps,Republic of Ireland
112115,Korean K League Classic ,Gangwon FC,Korea Republic
111706,Argentina Primera División  ,Godoy Cruz,Argentina
111042,Campeonato Brasileiro Série A ,Goiás,Brazil
111779,Chinese Super League ,Henan Jianye FC,China PR
698,USA Major League Soccer ,Houston Dynamo,USA
1475,Korean K League Classic ,Jeonnam Dragons,
1439,Swedish Allsvenskan ,Kalmar FF,Sweden
111035,Mexican Liga MX ,Lobos BUAP,
112420,Norwegian Eliteserien ,Mjøndalen IF,Norway
435,Swiss Super League ,Neuchâtel Xamax,Switzerland
15019,Spanish Segunda División ,Gimnàstic de Tarragona,
101106,Colombian Liga Postobón ,Once Caldas,Colombia
383,Campeonato Brasileiro Série A ,Palmeiras,Brazil
1754,Scottish Premiership ,Partick Thistle FC,
1474,Korean K League Classic ,Pohang Steelers,Korea Republic
110815,Romanian Liga I ,Politehnica Iaşi,Romania
111065,USA Major League Soccer ,Real Salt Lake,USA
111273,French Ligue 2 ,Red Star FC,
919,Norwegian Eliteserien ,SK Brann,Norway
2055,Korean K League Classic ,Sangju Sangmu FC,Korea Republic
112199,Norwegian Eliteserien ,Sarpsborg 08 FF,Norway
563,Rep. Ireland Airtricity League ,Sligo Rovers,Republic of Ireland
2007,Belgian Jupiler Pro League ,Sporting Lokeren,
598,Campeonato Brasileiro Série A ,São Paulo,Brazil
110109,Russian Premier League ,Terek Grozny,
111774,Chinese Super League ,Tianjin TEDA FC,China PR
112448,Japanese J. League Division 1 ,V-Varen Nagasaki,
110700,German 3. Bundesliga ,VfL Sportfreunde Lotte,
